Code,Name,Market,Type
009819,中信數據及電力,TWSE,ETF
00981A,主動統一台股增長,TWSE,ETF
00981T,平衡凱基雙核收息,TWSE,ETF
009820,元大納斯達克精選,TWSE,ETF
009821,野村稀土關鍵資源,TWSE,ETF
009824,群益美國科技巨頭,TWSE,ETF
00982A,主動群益台灣強棒,TWSE,ETF
00982D,主動富邦動態入息,TWSE,ETF
00982T,平衡兆豐台美動能,TWSE,ETF
00983A,主動中信ARK創新,TWSE,ETF
00983D,主動富邦複合收益,TWSE,ETF
00984A,主動安聯台灣高息,TWSE,ETF
00984D,主動聯博全球非投,TWSE,ETF
00985A,主動野村台灣50,TWSE,ETF
00985B,群益ESG投等債0-5,TWSE,ETF
00986A,主動台新龍頭成長,TWSE,ETF
00987A,主動台新優勢成長,TWSE,ETF
00988A,主動統一全球創新,TWSE,ETF
00989A,主動摩根美國科技,TWSE,ETF
00990A,主動元大AI新經濟,TWSE,ETF
00991A,主動復華未來50,TWSE,ETF
00992A,主動群益科技創新,TWSE,ETF
00993A,主動安聯台灣,TWSE,ETF
00994A,主動第一金台股優,TWSE,ETF
00995A,主動中信台灣卓越,TWSE,ETF
00996A,主動兆豐台灣豐收,TWSE,ETF
00997A,主動群益美國增長,TWSE,ETF
00999A,主動野村臺灣高息,TWSE,ETF
01001T,土銀富邦R1,TWSE,ETF
01002T,土銀國泰R1,TWSE,ETF
01004T,土銀富邦R2,TWSE,ETF
01007T,兆豐國泰R2,TWSE,ETF
01009T,王道圓滿R1,TWSE,ETF
01010T,京城樂富R1,TWSE,ETF
020000,富邦特選蘋果N,TWSE,ETF
020011,統一微波高息20N,TWSE,ETF
020012,富邦行動通訊N,TWSE,ETF
02001L,富邦蘋果正二N,TWSE,ETF
020020,元大台股領航N,TWSE,ETF
020028,元大特選電動車N,TWSE,ETF
020029,元大ESG高股息N,TWSE,ETF
020030,統一智慧電動車N,TWSE,ETF
020031,統一IC設計臺灣N,TWSE,ETF
020032,元大綠能N,TWSE,ETF
020034,元大IC設計N,TWSE,ETF
020036,元大金融配息N,TWSE,ETF
020037,元大金融高股息N,TWSE,ETF
020038,元大ESG配息N,TWSE,ETF
020039,元大加權N,TWSE,ETF
1101,台泥,TWSE,Stock
1101B,台泥乙特,TWSE,ETF
